pitcher,outs,innings,walks,hits,runners,whip,runs
593619,39,13.0,6,10,16,1.3111547112811333,-0.0015017551779651361
593833,103,34.333333333333336,10,39,49,1.3775925292709668,0.03959810504254102
593958,344,114.66666666666667,36,124,160,1.379729385755429,0.04092001032901671
593974,99,33.0,11,31,42,1.3081543982620591,-0.0033578132098617264
594056,43,14.333333333333334,5,19,24,1.4234146888671653,0.06794467648914793
594311,21,7.0,1,5,6,1.267043776760667,-0.02878972606322938
594577,157,52.333333333333336,20,57,77,1.41178319679939,0.06074918583930977
594580,8,2.6666666666666665,3,1,4,1.3463312283973765,0.020259193333966308
594694,3,1.0,3,6,9,1.517351088261941,0.1260557493924408
594795,39,13.0,5,15,20,1.3847423120495177,0.044021114131286065
594798,274,91.33333333333333,11,41,52,0.8084268510453693,-0.3125
594835,264,88.0,27,85,112,1.2930914936406692,-0.012676049316722948
594965,72,24.0,12,32,44,1.518895299218243,0.12701103143473624
594985,35,11.666666666666666,2,14,16,1.3441250231430828,0.018894387409980395
594986,40,13.333333333333334,5,17,22,1.412871957637421,0.061422716662725474
594987,64,21.333333333333332,8,15,23,1.2485247955355934,-0.04024596533787217
595014,153,51.0,14,36,50,1.1398208453317356,-0.1074925621402999
595191,62,20.666666666666668,8,33,41,1.5521565523939704,0.14758715656410837
595263,10,3.3333333333333335,4,8,12,1.505257061836626,0.1185741250612562
595345,55,18.333333333333332,6,12,18,1.2275092325404062,-0.053246643681787775
595411,40,13.333333333333334,8,16,24,1.4494415025987055,0.0840454220993535
595465,119,39.666666666666664,29,41,70,1.5460969081476421,0.14383853056997653
595798,8,2.6666666666666665,3,2,5,1.369046291697497,0.03431121904434953
595918,23,7.666666666666667,1,6,7,1.270211720158016,-0.02682996828133699
595928,134,44.666666666666664,12,43,55,1.2818616135574932,-0.01962309417274466
596001,103,34.333333333333336,11,39,50,1.3908042588815126,0.04777116455433361
596027,81,27.0,19,20,39,1.3790897459331015,0.040524315405785716
596049,31,10.333333333333334,5,18,23,1.514218132219133,0.12411763553903121
596057,127,42.333333333333336,19,46,65,1.4370887763263125,0.07640376049006925
596071,14,4.666666666666667,3,5,8,1.3747370054004786,0.03783161668569368
596082,25,8.333333333333334,1,7,8,1.2732946585725058,-0.024922796406376513
596112,85,28.333333333333332,14,31,45,1.4387998155926645,0.07746224610574115
596133,119,39.666666666666664,11,36,47,1.262229173780387,-0.031768142806792854
596295,306,102.0,29,87,116,1.1947127431419116,-0.0735352559629392
598264,140,46.666666666666664,12,31,43,1.1164092243271604,-0.1219754933974756
598286,61,20.333333333333332,5,23,28,1.34981337885539,0.022413326347681894
598287,56,18.666666666666668,5,15,20,1.2540126233152182,-0.03685107728343151
600921,45,15.0,1,12,13,1.2113922847912837,-0.06321693349129809
601713,373,124.33333333333333,52,107,159,1.2931981729650535,-0.012610055196908831
605130,168,56.0,21,49,70,1.2867121648936413,-0.01662243900465077
605135,450,150.0,34,131,165,1.1510968190266095,-0.10051700278673503
605138,42,14.0,12,18,30,1.540373221554955,0.14029773519133515
605151,109,36.333333333333336,15,35,50,1.3550004594954737,0.025622165766407967
605154,46,15.333333333333334,1,23,24,1.3983060853411833,0.05241195542043553
605155,2,0.6666666666666666,3,4,7,1.4817945314573928,0.10405970017220545
605164,252,84.0,29,90,119,1.3901931120405802,0.047393096000962864
605177,144,48.0,12,27,39,1.0549865417555142,-0.15997288320412872
605194,23,7.666666666666667,4,13,17,1.4741948990551779,0.09935840445075261
605195,73,24.333333333333332,19,19,38,1.4198502839442435,0.06573965909794177
605200,357,119.0,61,128,189,1.523291406945681,0.12973055803236833
605218,17,5.666666666666667,2,11,13,1.4518314670715502,0.08552390542011701
605240,5,1.6666666666666667,3,3,6,1.4241101062064383,0.06837487658156227
605242,146,48.666666666666664,13,52,65,1.3359868743896937,0.013859953915052015
605276,54,18.0,9,25,34,1.5039580811763729,0.11777054774368512
605280,151,50.333333333333336,24,43,67,1.3335150235061657,0.01233081390304136
605288,306,102.0,48,95,143,1.3830537596922146,0.042976539400207625
605309,34,11.333333333333334,3,11,14,1.3146706865742424,0.0006733026047520685
605347,331,110.33333333333333,50,141,191,1.6235078161311767,0.19172657978544883
605359,81,27.0,8,28,36,1.3352024962790816,0.013374720780045757
605388,44,14.666666666666666,8,12,20,1.3435471409569169,0.01853689708603612
605397,404,134.66666666666666,33,116,149,1.16047141853986,-0.09471767431275091
605400,403,134.33333333333334,30,134,164,1.2480506550307067,-0.04053927883108033
605441,79,26.333333333333332,16,20,36,1.348352604585547,0.02150966003050314
605447,124,41.333333333333336,20,32,52,1.2972548554036767,-0.010100504368314334
605452,323,107.66666666666667,30,106,136,1.2834903372239954,-0.018615530753950282
605483,304,101.33333333333333,62,98,160,1.508654685100807,0.12067596773858702
605488,132,44.0,13,35,48,1.2098648613325664,-0.0641618304272632
605501,0,0.0,2,2,4,1.4331416363655975,0.07396197498951318
605507,160,53.333333333333336,20,41,61,1.2279018477764003,-0.05300376346976354
605513,150,50.0,12,42,54,1.1960816876779772,-0.07268839749009581
605521,42,14.0,6,10,16,1.287469267663536,-0.01615407898084631
605525,78,26.0,12,29,41,1.429256626498042,0.0715586244981371
605538,139,46.333333333333336,9,40,49,1.1890755874899495,-0.07702252144436028
605540,419,139.66666666666666,36,96,132,1.0345080039637737,-0.1726413462305586
606149,178,59.333333333333336,13,43,56,1.1050756269748765,-0.12898669998234036
606160,149,49.666666666666664,16,64,80,1.4861018511255784,0.10672430057064941
606213,3,1.0,2,3,5,1.422915657065801,0.06763596470567546
606303,89,29.666666666666668,9,22,31,1.2146716594204716,-0.06118824195764594
606424,133,44.333333333333336,11,27,38,1.0884592151308112,-0.13926596900140942
606930,81,27.0,11,29,40,1.3937188291511082,0.04957418028103244
606965,22,7.333333333333333,2,12,14,1.4226733263071067,0.06748605369699379
607054,3,1.0,1,3,4,1.399306799266766,0.053031018533984176
607074,331,110.33333333333333,29,82,111,1.0961175273138042,-0.13452837270807272
607179,17,5.666666666666667,5,7,12,1.4305655722148412,0.07236836641357614
607188,77,25.666666666666668,9,32,41,1.4363648468708385,0.07595592219059288
607192,263,87.66666666666667,27,55,82,1.0639166914526426,-0.15444850092600615
607200,270,90.0,32,93,125,1.3723702402750269,0.03636748497917497
607219,72,24.0,7,27,34,1.3658894616461268,0.03235833621681494
607229,78,26.0,7,26,33,1.3104864621357162,-0.001915148442525938
607231,253,84.33333333333333,56,77,133,1.4978911641909738,0.11401742267706305
