batter,stand,woba_L,pa_L,woba_R,pa_R
642136,L,0.3275565453963513,33,0.32157786633023594,164
642165,L,0.3168002855977152,77,0.3195634330149284,463
642180,L,0.2943276077940371,85,0.32482768581716587,236
642203,L,0.303477659287257,3,0.3309072809378688,11
642211,L,0.3124381741254991,18,0.31217711709886575,120
642221,L,0.3058706612371534,8,0.31866079547700976,54
642423,L,0.2965444939347991,51,0.3148114445767484,232
642456,L,0.308940841005909,1,0.33839301934780674,4
643217,L,0.3235994692532943,307,0.3325390727415738,716
643230,L,0.316325414191935,12,0.3286707701699057,43
643393,L,0.31642670979086857,133,0.32322111588735875,538
643418,L,0.28497838044065754,130,0.32480277583820294,291
643446,L,0.3342051985370951,299,0.3708137316125452,768
643565,L,0.3238860793584296,145,0.3307167643016582,451
645277,L,0.308940841005909,1,0.3390234642068572,1030
645801,L,0.3433474189127456,57,0.32432804362398826,260
646240,L,0.3348164425731113,490,0.3946049703039761,930
647304,L,0.2976585056861706,149,0.32837203973212636,484
650331,L,0.28355431738275433,18,0.3271363645326028,55
650333,L,0.3111724291298954,216,0.36820607336481653,607
656252,L,0.3303927627653227,69,0.33090594982528193,155
656353,L,0.30618488253319714,2,0.33571566445635426,4
656364,L,0.3193928860691145,3,0.32557389664441205,20
656371,L,0.2572616446432907,110,0.3121392004906994,315
656457,L,0.308940841005909,1,0.3367173442660293,3
656514,L,0.2909520136746436,73,0.33238331486622785,281
656541,L,0.3226795185638515,77,0.3408211255203333,240
656568,L,0.308940841005909,1,0.33571566445635426,4
656716,L,0.30119260654579705,52,0.32888732112144564,125
656775,L,0.35873652973032116,169,0.3498165785320747,495
656794,L,0.3008178898775674,4,0.33373007810736416,6
656811,L,0.2766942813329843,94,0.3138477761848333,589
656849,L,0.3008178898775674,4,0.32974532976670795,16
656941,L,0.31711412343365736,281,0.37105290961247867,860
656954,L,0.3142134831460674,2,0.3377250194179197,2
656976,L,0.2988940963657294,122,0.34004428291167255,341
657006,L,0.308940841005909,1,0.3367173442660293,3
657077,L,0.3068955428081627,353,0.3624112829507199,695
657434,L,0.3011834972264246,11,0.33352718289552374,102
657757,L,0.2811081587996249,12,0.3492801726492928,87
