batter,stand,hev_R,ab_R,hev_L,ab_L,wHEV
641914,R,77.19,16,78.04,23,77.69
641924,R,73.82,11,87.7,10,80.43
641933,R,82.71,198,88.5,46,83.8
641943,L,82.91,22,43.5,4,76.85
642082,L,75.38,42,55.2,10,71.5
642086,L,81.44,227,80.23,94,81.09
642092,R,58.33,3,82.0,3,70.17
642133,L,81.73,173,71.89,38,79.96
642136,L,74.33,3,77.0,2,75.4
642162,R,79.87,70,77.74,69,78.81
642165,L,79.07,121,77.56,27,78.79
642180,L,63.5,48,63.62,29,63.55
642201,R,72.59,80,71.75,52,72.26
642203,L,57.5,4,19.0,2,44.67
642211,L,81.77,65,60.75,8,79.47
642221,L,69.78,27,46.6,5,66.16
642336,S,74.8,108,73.54,65,74.33
642423,L,71.58,113,60.61,33,69.1
642547,R,52.69,13,50.83,6,52.1
642708,R,74.14,248,77.72,129,75.36
642715,R,78.59,225,86.4,83,80.69
642721,R,72.58,95,83.2,35,75.44
642727,S,79.65,72,67.16,32,75.81
642731,R,70.36,45,70.34,32,70.35
642736,S,71.67,48,68.25,16,70.82
642851,R,68.76,55,72.92,24,70.02
643217,L,79.22,218,79.14,96,79.2
643230,L,48.0,5,66.0,1,51.0
643265,R,80.17,104,85.05,44,81.62
643269,R,66.0,30,66.62,8,66.13
643289,R,75.27,75,74.41,49,74.93
643376,R,77.65,57,76.61,33,77.27
643393,L,76.28,169,72.39,49,75.41
643396,R,73.48,308,74.1,154,73.69
643418,L,78.05,39,67.53,34,73.15
643436,R,84.0,1,73.0,1,78.5
643446,L,77.81,200,74.34,59,77.02
643524,R,78.6,68,78.67,33,78.62
643565,L,73.86,90,80.61,18,74.98
644374,R,76.71,51,77.61,72,77.24
644433,R,72.3,10,68.75,4,71.29
645261,R,11.22,9,51.0,3,21.17
645277,S,80.13,287,81.88,128,80.67
645302,R,69.21,171,75.66,64,70.97
645305,R,61.67,3,101.0,1,71.5
645801,L,80.77,31,68.83,6,78.83
646240,L,83.22,228,75.17,151,80.01
647304,L,78.76,126,72.34,62,76.64
647351,S,76.98,144,75.7,56,76.62
649557,R,74.99,123,80.88,68,77.09
649966,R,76.48,244,75.34,76,76.21
650331,L,77.09,22,90.33,3,78.68
650333,L,81.06,238,76.27,63,80.06
650391,R,78.11,73,77.62,21,78.0
650402,R,76.11,194,80.73,93,77.61
650489,S,72.52,177,76.44,94,73.88
650490,R,73.64,186,77.81,128,75.34
650559,R,74.2,59,77.62,16,74.93
650859,S,75.85,46,63.75,20,72.18
650968,R,72.74,23,78.0,16,74.9
656180,R,79.48,27,81.5,20,80.34
656185,S,76.26,19,85.17,6,78.4
656252,L,80.66,74,72.7,30,78.36
656305,R,76.96,194,80.04,105,78.04
656308,R,77.29,38,82.0,28,79.29
656364,L,76.67,12,69.33,3,75.2
656371,L,78.96,98,71.31,48,76.44
656403,R,72.38,21,76.37,19,74.28
656413,R,64.75,4,65.17,6,65.0
656427,R,56.75,12,60.5,2,57.29
656457,L,6.33,3,28.5,2,15.2
656467,R,57.17,12,74.33,12,65.75
656509,R,59.5,2,62.83,6,62.0
656514,L,61.42,12,86.6,5,68.83
656537,R,77.02,43,68.0,38,72.79
656541,L,76.96,68,71.12,17,75.79
656546,R,47.91,11,82.0,2,53.15
656555,R,82.03,189,83.99,94,82.68
656568,L,77.67,3,85.0,1,79.5
656577,R,79.25,32,80.3,10,79.5
656582,R,80.16,99,76.05,42,78.94
656605,R,31.17,6,47.5,4,37.7
656669,R,73.5,42,76.02,46,74.82
656716,L,81.1,77,76.06,34,79.56
656731,R,54.17,6,70.2,5,61.46
656775,L,81.06,256,72.85,145,78.09
656811,L,82.94,126,72.0,19,81.51
656821,R,80.0,1,88.33,3,86.25
656847,R,79.09,46,76.76,34,78.1
656849,L,40.86,7,12.5,2,34.56
656896,R,78.9,41,79.0,25,78.94
656941,L,83.51,161,83.41,64,83.48
656976,L,75.76,255,73.67,98,75.18
657011,R,76.91,11,72.0,2,76.15
657041,R,71.33,45,85.41,27,76.61
657053,R,73.0,3,51.33,3,62.16
657061,S,74.65,20,71.62,8,73.78
657077,L,80.18,252,76.07,137,78.73
657108,R,76.81,52,74.29,14,76.28
657136,R,90.0,3,68.33,3,79.17
657277,R,67.24,17,57.5,4,65.38
657434,L,82.84,32,66.0,3,81.4
657557,R,75.47,174,79.51,45,76.3
657656,R,77.0,152,78.22,90,77.45
657757,L,80.18,68,69.5,8,79.06
658069,R,74.11,138,77.56,63,75.19
658668,R,71.21,39,78.67,21,73.82
660162,S,81.95,230,77.94,70,81.01
660271,L,86.42,190,81.51,102,84.7
660294,L,79.35,69,80.4,25,79.63
660620,S,72.9,21,70.93,14,72.11
660623,R,76.58,12,73.5,2,76.14
660634,S,69.2,35,69.52,27,69.34
660644,S,69.17,6,58.91,11,62.53
660670,R,84.6,165,85.59,51,84.83
660688,S,79.12,8,83.0,7,80.93
660731,S,65.0,4,84.5,2,71.5
660821,L,80.83,71,73.91,23,79.14
660829,L,76.87,39,73.8,10,76.24
661269,R,31.31,16,60.25,8,40.96
661388,R,76.47,80,89.06,16,78.57
662139,L,78.15,101,74.9,40,77.23
663330,R,74.5,10,82.86,7,77.94
663457,L,74.51,43,75.71,14,74.8
663460,L,40.0,2,61.0,2,50.5
663527,R,77.0,2,97.0,1,83.67
663538,R,73.33,76,79.28,36,75.24
663574,R,62.6,5,91.0,1,67.33
