pitcher,p_throws,hev_R,ab_R,hev_L,ab_L,ip,wHEV
571510,L,67.46,199,60.42,67,5.3,65.69
571521,L,63.84,83,56.6,58,0.9,60.86
571578,L,70.03,403,66.35,103,5.4,69.28
571656,R,67.26,90,66.15,40,1.0,66.92
571666,R,80.93,28,75.11,9,4.7,79.51
571670,R,56.81,89,69.92,90,0.9,63.4
571676,R,58.69,35,68.38,21,3.7,62.32
571710,R,61.05,74,54.23,62,0.9,57.94
571735,R,66.97,59,70.41,37,1.6,68.3
571760,L,59.62,304,64.35,112,5.1,60.89
571788,R,70.5,2,96.0,1,0.7,79.0
571800,R,77.7,20,98.2,5,3.0,81.8
571871,L,67.67,36,60.22,18,1.0,65.19
571882,R,63.06,31,73.48,21,1.6,67.27
571901,L,59.12,80,63.58,64,0.8,61.1
571927,L,65.66,341,55.48,101,5.1,63.33
571945,R,55.57,28,74.69,32,4.1,65.77
571946,R,78.77,13,84.0,6,0.8,80.42
571948,L,62.82,51,52.65,31,1.1,58.98
571951,R,71.0,10,28.75,4,2.0,58.93
572020,L,31.0,2,48.0,1,1.3,36.67
572070,R,70.3,275,66.68,179,4.2,68.87
572125,L,69.82,39,71.92,24,1.1,70.62
572143,R,70.53,105,75.17,52,1.5,72.07
572193,R,54.8,123,55.12,51,1.0,54.89
572761,R,88.0,3,67.5,2,1.0,79.8
572888,R,57.17,46,72.03,32,0.9,63.27
572955,R,54.55,78,62.39,67,0.9,58.17
572971,L,68.86,417,64.47,107,5.2,67.96
573009,L,73.77,64,48.26,50,0.7,62.58
573062,R,52.15,13,72.77,13,1.6,62.46
573124,L,61.16,90,39.24,41,1.0,54.3
573127,L,54.67,6,49.2,5,0.8,52.18
573131,R,99.0,2,85.5,4,1.0,90.0
573186,R,61.03,270,65.12,258,5.4,63.03
573204,L,59.8,104,62.89,64,1.1,60.98
573668,R,61.37,57,62.52,27,1.4,61.74
579328,L,63.78,384,61.78,106,5.8,63.35
591720,R,85.89,9,98.75,4,1.4,89.85
592094,R,60.8,10,54.93,15,0.9,57.28
592135,R,65.26,38,70.55,20,1.0,67.08
592145,L,61.61,23,55.67,15,1.3,59.27
592165,R,81.75,4,49.6,5,3.0,63.89
592169,R,65.15,34,73.38,16,1.0,67.78
592222,L,63.37,63,62.08,63,0.8,62.72
592233,R,67.88,65,70.7,30,0.8,68.77
592254,R,53.71,35,55.55,31,2.0,54.57
592273,R,73.0,2,97.0,3,0.7,87.4
592288,L,69.92,26,66.07,27,1.7,67.96
592314,R,70.18,237,74.22,221,5.3,72.13
592332,R,55.55,258,60.44,265,5.8,58.03
592346,R,75.12,173,71.44,189,4.4,73.2
592351,R,59.42,190,65.67,240,5.2,62.91
592390,R,49.96,92,58.65,54,0.9,53.17
592407,R,75.5,2,95.0,1,1.0,82.0
592426,R,62.25,97,65.79,63,0.9,63.64
592464,L,88.71,7,103.0,1,2.0,90.5
592473,L,74.08,24,53.95,20,0.8,64.93
592612,L,63.08,25,65.38,26,0.9,64.25
592644,R,71.46,134,72.8,74,1.5,71.94
592662,L,60.12,419,58.52,98,6.1,59.82
592716,R,55.82,22,75.94,17,2.3,64.59
592717,R,62.91,69,68.73,55,3.9,65.49
592741,L,65.64,78,63.18,67,0.9,64.5
592761,L,61.45,239,64.55,92,2.7,62.31
592767,L,66.9,306,67.52,100,4.9,67.05
592773,R,59.56,111,64.23,69,1.0,61.35
592791,R,65.8,255,64.75,202,5.0,65.34
592826,R,66.26,159,67.47,114,3.8,66.77
592831,R,70.28,29,68.5,8,1.7,69.9
592836,R,64.98,264,63.9,187,5.3,64.53
592858,R,44.18,17,62.85,13,1.0,52.27
592859,R,93.0,1,85.75,4,1.0,87.2
592865,R,54.78,9,69.17,6,1.1,60.54
592866,R,64.76,127,69.69,126,4.2,67.22
592879,R,67.0,7,90.8,5,4.0,76.92
593140,R,77.31,26,67.11,27,0.9,72.11
593144,R,75.73,92,70.77,82,1.0,73.39
593334,R,65.04,185,64.04,156,4.6,64.58
593372,R,64.41,127,67.44,171,5.1,66.15
593423,R,65.12,279,59.69,258,5.8,62.51
